Wall time,Step,Value
1658866569.810291,105402,-81.70494079589844
1658866589.688599,105760,-80.49215698242188
1658866605.837139,106104,-92.50166320800781
1658866608.8410282,106195,-83.94255065917969
1658866615.3786712,106323,-87.93396759033203
1658866635.809108,106758,-85.3044662475586
1658866874.084449,108115,-87.64693450927734
1658866876.523713,108176,-84.22415161132812
1658866876.926456,108198,-83.2185287475586
1658866895.745065,108594,-84.55715942382812
1658866897.861275,108626,-81.74372100830078
1658866900.472648,108687,-86.28408813476562
1658866906.971033,108804,-92.33850860595703
1658866921.366396,109109,-88.37078857421875
1658866923.918745,109162,-90.06259155273438
1658866939.213994,109475,-86.77201080322266
1658866944.1257138,109588,-80.69023132324219
1658866948.486159,109668,-83.92598724365234
1658866955.509065,109819,-86.7726821899414
1658866958.2914119,109879,-82.49678039550781
1658866961.734008,109946,-84.61851501464844
1658866970.5028028,110113,-96.17218780517578
1658866975.43435,110228,-88.68241119384766
1658866981.899352,110354,-93.55001831054688
1658866989.598111,110529,-89.75826263427734
1658866998.872113,110730,-83.49267578125
1658867205.775352,111172,-91.81423950195312
1658867210.472532,111264,-82.43673706054688
1658867225.2372339,111580,-89.46906280517578
1658867256.530506,112247,-90.07850646972656
1658867269.835518,112506,-85.45516967773438
1658867276.977194,112660,-77.34109497070312
1658867287.010968,112883,-90.57390594482422
1658867287.080108,112887,-90.0125503540039
1658867322.611758,113614,-87.18775177001953
1658867325.5232818,113697,-83.77848815917969
1658867351.178294,114201,-89.96028137207031
1658867372.4409442,114685,-88.29749298095703
1658867374.442703,114714,-79.34748840332031
1658867384.007127,114925,-89.75215911865234
1658867573.313531,115065,-88.156494140625
1658867582.590828,115259,-83.62489318847656
1658867587.6234748,115386,-91.4393081665039
1658867587.759941,115394,-92.56257629394531
1658867599.124286,115628,-88.38153076171875
1658867622.516423,116131,-85.61459350585938
1658867631.502437,116317,-95.14668273925781
1658867638.5456681,116460,-85.40652465820312
1658867665.241359,117038,-78.52506256103516
1658867679.216862,117345,-91.48225402832031
1658867713.792959,118080,-91.1528091430664
1658867725.266489,118313,-88.7762222290039
1658867727.5787039,118351,-86.02982330322266
1658867728.3185432,118394,-89.6512680053711
1658867739.4751391,118615,-92.39090728759766
1658867751.6611142,118886,-90.26875305175781
1658867753.433237,118910,-82.47036743164062
1658867753.800111,118931,-81.29222869873047
1658867754.006336,118943,-90.86445617675781
1658867756.008325,118971,-88.91009521484375
1658867935.266895,119122,-93.97720336914062
1658867941.7995892,119255,-88.5505599975586
1658867944.7601962,119347,-94.06957244873047
1658867971.784916,119903,-88.59706115722656
1658867979.32455,120092,-86.8245620727539
1658868003.478889,120603,-87.89334869384766
1658868012.589222,120810,-86.58514404296875
1658868028.621433,121157,-83.94195556640625
1658868035.4438882,121314,-84.52892303466797
1658868053.33173,121708,-85.02002716064453
1658868055.761329,121762,-83.55509948730469
1658868078.844455,122254,-85.07099914550781
1658868085.7903202,122406,-80.92536926269531
1658868095.5611331,122609,-90.57442474365234
1658868103.2900338,122780,-88.29307556152344
1658868400.8518898,123097,-92.84012603759766
1658868413.694248,123206,-88.85940551757812
1658868414.6424341,123228,-98.32402038574219
1658868418.852643,123261,-92.7530288696289
1658868436.6473658,123465,-92.45397186279297
1658868519.111841,124397,-89.74240112304688
1658868535.0007858,124551,-87.31423950195312
1658868537.042482,124579,-90.37527465820312
1658868540.512384,124606,-92.02336120605469
1658868541.2134788,124639,-82.67452239990234
1658868551.461101,124757,-100.00590515136719
1658868551.7084851,124770,-85.78677368164062
1658868553.953471,124801,-87.36404418945312
1658868554.79089,124842,-96.46976470947266
1658868572.071697,125184,-86.33589935302734
1658868614.737141,125918,-95.25408935546875
1658868626.4315462,126105,-92.52818298339844
1658868627.481784,126143,-90.71033477783203
1658868654.524446,126453,-92.26625061035156
1658868664.3876648,126561,-88.39997863769531
1658868674.322892,126666,-90.98036193847656
1658868690.6029282,126950,-89.52884674072266
1658868950.561097,127048,-90.88941192626953
1658868961.40132,127152,-92.5926742553711
1658868964.382171,127208,-88.3199691772461
1658868981.918895,127510,-88.92385864257812
1658868991.151943,127706,-88.95912170410156
1658868992.1044118,127750,-93.995849609375
1658868997.4323342,127810,-92.3998031616211
1658869098.889235,128909,-94.57646179199219
1658869134.334269,129431,-87.3836441040039
1658869157.369455,129720,-98.93283081054688
1658869160.394665,129754,-94.14989471435547
1658869164.8543758,129839,-93.51863098144531
1658869171.610073,129953,-100.43372344970703
1658869172.132166,129983,-87.51046752929688
1658869176.5085042,130076,-99.69486999511719
1658869184.979723,130245,-96.6832504272461
1658869279.1940548,130557,-98.06731414794922
1658869557.909017,131081,-90.28176879882812
1658869559.954719,131115,-103.95292663574219
1658869571.015213,131339,-85.70086669921875
1658869608.9163678,132104,-98.53240203857422
1658869615.15553,132238,-90.39561462402344
1658869624.892478,132388,-95.77313232421875
1658869655.001075,132931,-95.83939361572266
1658869663.225415,133072,-93.28179931640625
1658869683.2004821,133433,-92.55007934570312
1658869686.600186,133490,-94.50408172607422
1658869705.971422,133848,-88.35436248779297
1658869722.40826,134120,-89.52473449707031
1658869724.9058518,134163,-90.13768768310547
1658869730.820686,134282,-94.54509735107422
1658869735.398357,134362,-89.29205322265625
1658869968.86721,135375,-91.78993225097656
1658869974.226196,135481,-95.96524047851562
1658869981.049609,135601,-93.61363983154297
